points	Dis	area	people
583	535.21	113651	
7	645.752	209.5	
583	535.21	113651	
7	645.752	209.5	
583	535.21	113651	
7	645.752	209.5	
583	535.21	113651	
7	645.752	209.5	
583	535.21	113651	
7	645.752	209.5	
95	346.716	10321.5	
37	537.82	6152.5	
21	264.705	2575	
25	439.21	2637	
17	788.183	2474	
95	346.716	10321.5	
37	537.82	6152.5	
21	264.705	2575	
25	439.21	2637	
17	788.183	2474	
95	346.716	10321.5	
37	537.82	6152.5	
21	264.705	2575	
25	439.21	2637	
17	788.183	2474	
95	346.716	10321.5	
37	537.82	6152.5	
21	264.705	2575	
25	439.21	2637	
17	788.183	2474	
95	346.716	10321.5	
37	537.82	6152.5	
21	264.705	2575	
25	439.21	2637	
17	788.183	2474	
95	346.716	10321.5	
37	537.82	6152.5	
21	264.705	2575	
25	439.21	2637	
17	788.183	2474	
9	647.522	37960.5	
9	647.522	37960.5	
9	647.522	37960.5	
11	811.934	2201.5	
8	597.945	5996	
11	811.934	2201.5	
8	597.945	5996	
11	811.934	2201.5	
8	597.945	5996	
98	226.921	14945.5	
18	747.746	90916	
67	762.493	16650.5	
36	782.3	24181.5	
37	779.42	8724.5	
6	431.082	262.5	
139	779.311	17357	
51	760.616	15641	
51	760.616	15641	
134	743.303	23537.5	
88	596.419	16010.5	
80	421.541	18546	
266	275.931	35221.5	
133	599.428	16086.5	
82	788.685	9390.5	
266	275.931	35221.5	
133	599.428	16086.5	
82	788.685	9390.5	
266	275.931	35221.5	
133	599.428	16086.5	
82	788.685	9390.5	
266	275.931	35221.5	
133	599.428	16086.5	
82	788.685	9390.5	
72	356.602	9662.5	
97	234.883	11690	
46	649.845	5887	
19	739.751	2712	
67	507.418	9559	
7	816.315	873	
21	461.754	1776	
22	356.396	1879	
129	736.816	24148.5	
231	593.205	33847.5	
27	409.591	3710.5	
112	353.069	11074.5	
110	234.776	12536.5	
80	646.233	10399	
82	779.572	10350.5	
112	494.54	12646	
112	353.069	11074.5	
110	234.776	12536.5	
80	646.233	10399	
82	779.572	10350.5	
112	494.54	12646	
438	552.393	69968	
127	295.601	17552	
149	277.694	21647.5	
17	825.577	1574	
200	296.933	25616.5	
22	787.2	2675	
165	721.227	34718.5	
10	794.942	2505.5	
8	270.712	1406.5	
85	678.956	23874.5	
45	576.251	7784.5	
67	750.696	11488.5	
126	314.506	15551.5	
69	475.888	11822.5	
119	589.2	37144	
119	589.2	37144	
264	328.32	43243	
53	517.63	6564.5	
429	360.484	70358.5	
24	689.632	1877	
10	767.85	929	
429	360.484	70358.5	
24	689.632	1877	
10	767.85	929	
264	328.32	43243	
53	517.63	6564.5	
264	328.32	43243	
53	517.63	6564.5	
199	284.176	28224	
53	792.879	5904	
30	819.825	4447	
235	300.696	29473	
41	779.647	5175	
11	778.565	1391	
7	455.198	331	
7	849.802	506.5	
6	717.714	467	
235	300.696	29473	
41	779.647	5175	
11	778.565	1391	
7	455.198	331	
7	849.802	506.5	
6	717.714	467	
218	298.21	27741.5	
129	790.318	24791.5	
13	575.128	959	
12	597.971	1428	
8	431.282	415	
11	731.161	890	
12	459.727	1267	
29	449.841	2569	
149	277.694	21647.5	
17	825.577	1574	
199	284.176	28224	
53	792.879	5904	
30	819.825	4447	
199	284.176	28224	
53	792.879	5904	
30	819.825	4447	
199	284.176	28224	
53	792.879	5904	
30	819.825	4447	
177	281.789	23937	
45	797.492	3953.5	
183	282.733	24000	
46	796.631	4034.5	
183	282.733	24000	
46	796.631	4034.5	
177	281.789	23937	
45	797.492	3953.5	
177	281.789	23937	
45	797.492	3953.5	
233	290.63	25119	
49	773.125	4183	
233	290.63	25119	
49	773.125	4183	
177	281.789	23937	
45	797.492	3953.5	
177	281.789	23937	
45	797.492	3953.5	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
168	281.443	22103	
43	797.14	3800	
690	282.793	23814	
136	796.985	4384.5	
12	342.861	169	
27	347.98	561	
19	741.739	259	
7	359.255	88.5	
12	378.338	127	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
168	281.443	22103	
43	797.14	3800	
227	290.993	24324.5	
41	780.834	3396	
